gameid,gamedate,home_teamid,away_teamid,home_win_avg_prev5,away_win_avg_prev5,home_points_avg_prev5,away_points_avg_prev5,home_opponent_points_avg_prev5,away_opponent_points_avg_prev5,home_assists_avg_prev5,away_assists_avg_prev5,home_blocks_avg_prev5,away_blocks_avg_prev5,home_steals_avg_prev5,away_steals_avg_prev5,home_fieldgoalsattempted_avg_prev5,away_fieldgoalsattempted_avg_prev5,home_fieldgoalspercentage_avg_prev5,away_fieldgoalspercentage_avg_prev5,home_threepointersattempted_avg_prev5,away_threepointersattempted_avg_prev5,home_threepointerspercentage_avg_prev5,away_threepointerspercentage_avg_prev5,home_freethrowsattempted_avg_prev5,away_freethrowsattempted_avg_prev5,home_freethrowspercentage_avg_prev5,away_freethrowspercentage_avg_prev5,home_reboundstotal_avg_prev5,away_reboundstotal_avg_prev5,home_foulspersonal_avg_prev5,away_foulspersonal_avg_prev5,home_turnovers_avg_prev5,away_turnovers_avg_prev5
22100134,2021-11-06,1610612748,1610612762,0.8,0.8,111.4,110.8,95.8,98.4,23.2,19.6,2,5.6,8.4,7.8,88.8,84.6,0.45640000000000003,0.4492000000000001,33.6,40.8,0.3056,0.35140000000000005,23.4,24.4,0.852,0.8564,50.4,50.6,20.6,18.2,15.4,17.8
22100146,2021-11-07,1610612746,1610612766,0.4,0.4,101.6,106.4,104,114.8,24.6,23.2,5.2,4.4,11.4,10,92.4,90,0.4122,0.441,40.6,33.6,0.2998,0.3486,16.8,21,0.7692,0.741,43.6,40.4,20.6,16.2,14.4,13.2
22100145,2021-11-07,1610612744,1610612745,0.8,0,111.8,102.6,95.2,109.6,31,22.6,5.4,4,9.2,7,88.4,83.2,0.4758,0.4532,44,33.8,0.40459999999999996,0.32699999999999996,14.8,23.8,0.682,0.6300000000000001,51.8,46.4,18.2,19.4,17.6,21
22100143,2021-11-07,1610612758,1610612754,0.6,0,115.2,112,110,118.2,24.8,24.8,4,6.4,7.4,6,90,89.4,0.47140000000000004,0.4742,40.6,36.2,0.34859999999999997,0.3514,21.6,18.8,0.7602,0.7489999999999999,48.2,43.8,20.8,22,14.2,15.4
22100140,2021-11-07,1610612752,1610612739,0.6,0.6,114.6,100,113.8,100.8,23,20.8,6.4,3.4,7,8.6,94,86.4,0.43999999999999995,0.42380000000000007,42,31.2,0.3718,0.295,22,22.6,0.7817999999999999,0.7834000000000001,48.2,45.6,19.4,15,15.2,17.8
22100144,2021-11-07,1610612760,1610612759,0.4,0.4,107.8,103.4,109.6,103.8,22.4,26,3.6,5.4,7.6,9.2,86.4,89.2,0.462,0.46040000000000003,36.6,26.4,0.34340000000000004,0.3384,21,17,0.7438,0.725,45.4,44,18.4,13.8,14.6,15
22100142,2021-11-07,1610612764,1610612749,0.8,0.6,117.4,114.4,110.6,114,24.4,22.8,6,4.6,5.4,8.2,91.8,87.8,0.47400000000000003,0.4718,33,37,0.362,0.3856,23.8,22.6,0.7802000000000001,0.7748,49.6,43.8,17.4,20.6,12.6,16
22100139,2021-11-07,1610612761,1610612751,0.4,0.6,106.4,108.2,105,107.6,20.8,21.6,4.6,6,10.8,5.6,90.6,83.2,0.4532,0.46900000000000003,30.8,31.4,0.38160000000000005,0.4176,18.6,22.8,0.6732,0.7796000000000001,44.4,45.6,19.6,20.4,12.6,17.2
22100141,2021-11-07,1610612753,1610612762,0.2,0.6,95.6,111.8,107.4,101.8,20.4,21.6,5.6,5.6,7.6,7,85.6,83.2,0.413,0.47059999999999996,39.6,41.4,0.3124,0.3418,15.2,23.6,0.805,0.8298,43,46.6,17.4,18.6,17.4,15.2
22100151,2021-11-08,1610612743,1610612748,0.6,0.6,100.4,108.6,95.6,107,25.8,23.6,4.2,3,8.2,6.6,87.2,89.8,0.4508,0.44139999999999996,40.4,32.4,0.286,0.39580000000000004,14.2,20.2,0.7044,0.8324,47,52.6,22.2,21.2,19.4,16
